date,temperature,humidity,light,soil,air
2019/10/24 16:18:54,10.00,51.00,46.00,68,974
2019/10/24 16:18:54,10.00,51.00,120.00,68,974
2019/10/24 16:18:55,10.00,51.00,136.00,69,975
2019/10/24 16:18:56,10.00,51.00,140.00,69,975
2019/10/24 16:18:56,10.00,51.00,154.00,68,975
2019/10/24 16:18:57,10.00,51.00,176.00,69,975
2019/10/24 16:18:58,10.00,51.00,158.00,69,976
2019/10/24 16:18:58,10.00,51.00,183.00,68,976
2019/10/24 16:18:59,10.00,50.00,133.00,69,976
2019/10/24 16:18:59,10.00,50.00,1318.00,69,977
2019/10/24 16:19:0,10.00,50.00,1710.00,69,976
2019/10/24 16:19:1,10.00,50.00,1478.00,69,974
2019/10/24 16:19:1,10.00,50.00,1686.00,71,973
2019/10/24 16:19:2,10.00,50.00,1538.00,69,966
2019/10/24 16:19:3,10.00,50.00,1610.00,70,972
2019/10/24 16:19:3,10.00,50.00,1558.00,69,964
2019/10/24 16:19:4,10.00,50.00,1618.00,70,968
2019/10/24 16:19:5,10.00,50.00,1607.00,70,964
2019/10/24 16:19:5,10.00,50.00,1621.00,70,970
2019/10/24 16:19:6,10.00,50.00,1629.00,71,971
2019/10/24 16:19:7,10.00,50.00,1542.00,71,970
2019/10/24 16:19:7,10.00,50.00,1557.00,71,966
2019/10/24 16:19:8,10.00,50.00,1545.00,71,968
2019/10/24 16:19:9,10.00,50.00,1498.00,72,970
2019/10/24 16:19:9,10.00,50.00,1525.00,72,966
2019/10/24 16:19:10,10.00,50.00,1507.00,72,967
2019/10/24 16:19:11,10.00,50.00,1489.00,72,969
2019/10/24 16:19:11,10.00,50.00,1503.00,72,971
2019/10/24 16:19:12,10.00,50.00,1490.00,72,967
2019/10/24 16:19:12,10.00,50.00,1523.00,72,973
2019/10/24 16:19:13,10.00,50.00,1550.00,72,970
2019/10/24 16:19:14,10.00,50.00,1590.00,72,973
2019/10/24 16:19:14,10.00,50.00,1564.00,72,974
2019/10/24 16:19:15,10.00,50.00,1523.00,72,971
2019/10/24 16:19:16,10.00,50.00,1502.00,72,974
2019/10/24 16:19:16,10.00,50.00,1405.00,72,969
2019/10/24 16:19:17,10.00,50.00,1318.00,72,963
2019/10/24 16:19:18,10.00,50.00,1460.00,72,970
2019/10/24 16:19:18,10.00,50.00,1548.00,72,972
2019/10/24 16:19:19,10.00,50.00,1531.00,73,972
2019/10/24 16:19:20,10.00,50.00,1603.00,73,973
2019/10/24 16:19:20,10.00,50.00,1592.00,73,976
2019/10/24 16:19:21,10.00,50.00,1723.00,72,967
2019/10/24 16:19:22,10.00,50.00,1608.00,72,969
2019/10/24 16:19:22,10.00,50.00,1970.00,73,974
2019/10/24 16:19:23,10.00,50.00,1572.00,73,974
2019/10/24 16:19:24,10.00,50.00,1504.00,73,974
2019/10/24 16:19:24,10.00,50.00,1559.00,73,974
2019/10/24 16:19:25,10.00,50.00,1738.00,73,975
2019/10/24 16:19:25,10.00,50.00,1894.00,73,975
2019/10/24 16:19:26,10.00,50.00,1602.00,73,976
2019/10/24 16:19:27,10.00,50.00,1522.00,73,974
2019/10/24 16:19:27,10.00,50.00,1369.00,73,941
2019/10/24 16:19:28,10.00,50.00,1535.00,73,976
2019/10/24 16:19:29,10.00,50.00,1703.00,72,977
2019/10/24 16:19:29,10.00,50.00,1620.00,73,979
2019/10/24 16:19:30,10.00,50.00,1790.00,73,979
2019/10/24 16:19:31,10.00,50.00,1733.00,73,980
2019/10/24 16:19:31,10.00,50.00,1874.00,73,979
2019/10/24 16:19:32,10.00,50.00,1809.00,73,978
2019/10/24 16:19:33,10.00,50.00,1681.00,73,979
2019/10/24 16:19:33,10.00,50.00,1729.00,73,979
2019/10/24 16:19:34,10.00,50.00,1775.00,73,980
2019/10/24 16:19:35,10.00,50.00,1743.00,73,980
2019/10/24 16:19:35,10.00,50.00,1812.00,73,980
2019/10/24 16:19:36,10.00,50.00,1758.00,73,980
2019/10/24 16:19:37,10.00,50.00,1753.00,73,980
2019/10/24 16:19:37,10.00,50.00,1707.00,73,980
2019/10/24 16:19:38,10.00,50.00,1767.00,73,980
2019/10/24 16:19:39,10.00,50.00,1745.00,73,980
2019/10/24 16:19:39,10.00,50.00,1777.00,73,980
2019/10/24 16:19:40,10.00,50.00,1795.00,73,981
2019/10/24 16:19:40,10.00,50.00,1586.00,73,980
2019/10/24 16:19:41,10.00,50.00,1567.00,73,980
2019/10/24 16:19:42,10.00,50.00,1683.00,73,980
2019/10/24 16:19:42,10.00,50.00,1817.00,73,980
2019/10/24 16:19:43,10.00,50.00,1655.00,73,980
2019/10/24 16:19:44,10.00,50.00,1697.00,73,981
2019/10/24 16:19:44,10.00,50.00,1663.00,72,980
2019/10/24 16:19:45,10.00,50.00,1609.00,73,980
2019/10/24 16:19:46,10.00,50.00,1569.00,73,980
2019/10/24 16:19:46,10.00,50.00,1614.00,73,980
2019/10/24 16:19:47,10.00,50.00,1496.00,73,980
2019/10/24 16:19:48,10.00,50.00,1592.00,73,980
2019/10/24 16:19:48,10.00,50.00,1596.00,73,980
2019/10/24 16:19:49,10.00,50.00,1534.00,73,980
2019/10/24 16:19:50,10.00,50.00,1451.00,73,980
2019/10/24 16:19:50,10.00,50.00,1411.00,72,980
2019/10/24 16:19:51,10.00,50.00,1371.00,73,980
2019/10/24 16:19:52,10.00,50.00,1356.00,73,973
2019/10/24 16:19:52,10.00,50.00,1375.00,73,975
2019/10/24 16:19:53,10.00,50.00,1374.00,73,975
2019/10/24 16:19:53,10.00,50.00,1419.00,72,975
2019/10/24 16:19:54,10.00,50.00,1423.00,73,976
2019/10/24 16:19:55,10.00,50.00,1339.00,73,976
2019/10/24 16:19:55,10.00,50.00,1239.00,73,977
2019/10/24 16:19:56,10.00,50.00,1356.00,73,975
2019/10/24 16:19:57,10.00,50.00,1442.00,73,978
2019/10/24 16:19:57,10.00,50.00,1366.00,72,976
2019/10/24 16:19:58,10.00,50.00,1353.00,72,973
2019/10/24 16:19:59,10.00,50.00,1353.00,73,975
2019/10/24 16:19:59,10.00,50.00,1166.00,72,975
2019/10/24 16:20:0,10.00,50.00,1159.00,72,973
2019/10/24 16:20:1,10.00,50.00,1154.00,73,976
2019/10/24 16:20:1,10.00,50.00,1173.00,72,973
2019/10/24 16:20:2,10.00,50.00,1378.00,72,977
2019/10/24 16:20:3,10.00,50.00,1268.00,72,974
2019/10/24 16:20:3,10.00,50.00,1197.00,71,976
2019/10/24 16:20:4,10.00,50.00,1259.00,72,976
2019/10/24 16:20:5,10.00,50.00,1168.00,71,974
2019/10/24 16:20:5,10.00,50.00,1253.00,72,977
2019/10/24 16:20:6,10.00,50.00,1223.00,72,979
2019/10/24 16:20:7,10.00,50.00,1180.00,72,979
2019/10/24 16:20:7,10.00,50.00,1255.00,72,974
2019/10/24 16:20:8,10.00,50.00,1206.00,72,975
2019/10/24 16:20:8,10.00,50.00,1227.00,72,974
2019/10/24 16:20:9,10.00,50.00,1036.00,72,976
2019/10/24 16:20:10,10.00,50.00,1084.00,72,979
2019/10/24 16:20:10,10.00,50.00,1253.00,73,980
2019/10/24 16:20:11,10.00,50.00,1220.00,73,981
2019/10/24 16:20:12,10.00,50.00,1229.00,73,981
2019/10/24 16:20:12,10.00,50.00,1218.00,72,981
2019/10/24 16:20:13,10.00,50.00,1190.00,73,981
2019/10/24 16:20:14,10.00,50.00,1186.00,73,981
2019/10/24 16:20:14,10.00,50.00,1181.00,73,980
2019/10/24 16:20:15,10.00,50.00,1154.00,73,980
2019/10/24 16:20:16,10.00,50.00,1171.00,73,980
2019/10/24 16:20:16,10.00,50.00,1173.00,73,980
2019/10/24 16:20:17,10.00,50.00,1176.00,72,980
2019/10/24 16:20:18,10.00,50.00,1171.00,73,981
2019/10/24 16:20:18,10.00,50.00,1171.00,73,980
2019/10/24 16:20:19,10.00,50.00,1157.00,72,978
2019/10/24 16:20:20,10.00,50.00,1177.00,72,977
2019/10/24 16:20:20,10.00,50.00,1186.00,72,977
2019/10/24 16:20:21,10.00,50.00,1209.00,72,979
2019/10/24 16:20:21,10.00,50.00,1240.00,72,978
2019/10/24 16:20:22,10.00,50.00,1163.00,72,978
2019/10/24 16:20:23,10.00,50.00,1191.00,72,978
2019/10/24 16:20:23,10.00,50.00,1166.00,73,979
2019/10/24 16:20:24,10.00,50.00,1153.00,72,982
2019/10/24 16:20:25,10.00,50.00,1129.00,72,982
2019/10/24 16:20:25,10.00,50.00,1112.00,72,982
2019/10/24 16:20:26,10.00,50.00,1055.00,72,982
